P13_1,P13_2,P13_3,P13_4,P12_1
1,2,1,3,2
1,2,2,3,2
1,1,1,3,2
1,2,2,3,2
1,9,9,3,2
1,2,1,3,1
1,2,2,3,2
1,1,1,3,2
1,2,1,3,2
1,2,1,3,2
1,1,1,3,2
1,2,2,3,2
1,2,2,3,1
1,2,3,3,1
1,2,2,3,1
1,3,3,3,2
1,2,3,3,2
1,2,1,3,1
1,2,1,2,2
1,3,1,3,1
1,1,2,3,2
1,3,3,3,2
1,9,9,3,2
1,2,2,3,1
1,2,3,3,2
1,2,1,3,1
1,3,1,3,1
9,9,9,9,1
2,2,2,3,2
1,2,2,2,1
1,2,2,3,2
9,8,8,9,1
1,1,2,3,1
1,3,3,3,1
1,2,1,3,2
1,2,2,3,1
1,2,2,3,1
1,2,1,1,1
1,2,2,3,2
1,2,2,2,2
1,2,2,3,1
9,8,8,3,1
1,2,3,3,2
1,2,3,3,1
1,2,2,3,2
2,9,9,9,1
1,2,2,3,1
1,1,1,3,2
1,2,1,3,1
1,2,2,3,2
1,2,1,3,2
1,2,2,3,1
1,2,2,3,2
1,2,1,3,2
1,3,3,3,1
1,2,1,3,2
1,1,2,3,1
1,2,2,3,1
1,1,1,3,1
1,9,9,3,2
1,9,9,9,2
1,2,1,3,1
1,2,2,3,1
1,2,2,3,2
1,1,3,3,1
1,2,2,3,2
1,1,1,3,1
1,2,2,2,2
1,9,9,3,2
1,2,2,3,1
1,2,2,3,1
1,2,2,3,2
1,1,1,3,2
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,2
9,9,9,3,1
1,1,1,3,1
1,2,2,3,1
1,1,1,3,2
1,2,2,3,1
1,2,2,3,2
1,2,2,3,2
1,2,3,3,1
1,9,9,3,1
1,2,3,3,1
1,1,1,3,2
1,3,2,1,1
1,8,8,3,2
1,2,1,3,1
9,2,9,9,1
9,9,9,9,1
9,8,9,9,2
9,9,9,3,1
9,9,9,3,2
1,2,3,3,1
1,2,1,3,1
1,9,3,3,2
1,2,3,2,2
1,2,1,3,1
1,2,2,3,1
1,2,2,3,1
1,2,2,3,1
1,1,1,3,1
1,2,2,2,1
1,3,1,3,1
1,1,1,3,1
9,9,9,3,1
1,2,2,3,1
1,2,3,3,1
2,9,9,9,1
1,2,1,2,1
1,9,9,3,2
1,2,2,3,2
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,2
1,1,1,3,2
1,2,2,3,2
1,2,2,3,1
1,2,2,3,2
1,1,1,3,2
1,1,1,3,2
1,1,1,3,2
1,2,2,3,1
1,9,9,9,1
1,2,2,3,2
1,2,2,3,2
1,2,2,3,1
1,8,8,9,1
1,2,2,3,2
9,9,9,9,2
1,3,3,3,1
1,2,1,1,2
9,9,9,3,1
1,3,2,3,1
1,2,3,3,1
1,9,9,3,1
9,2,2,3,2
1,2,1,3,1
1,9,9,2,1
1,2,8,3,1
1,9,9,3,1
1,2,2,3,1
9,9,9,9,1
1,2,3,3,1
1,9,9,9,2
1,1,1,3,1
1,2,2,3,1
1,2,2,3,2
1,9,9,9,2
1,2,2,3,2
1,2,1,3,2
1,9,1,3,1
1,2,1,3,1
1,2,3,3,1
1,9,9,9,2
1,1,2,3,2
1,2,2,3,1
1,1,1,3,1
1,2,1,3,1
1,3,3,3,1
1,2,2,3,2
1,2,2,3,2
1,1,1,3,2
1,2,2,3,2
1,2,1,3,1
1,1,1,3,2
1,2,1,3,2
1,2,2,3,2
1,2,1,3,2
1,2,9,3,1
1,2,1,3,1
1,2,1,3,2
1,3,1,2,1
1,1,1,3,1
1,1,1,3,2
2,2,8,2,2
1,9,9,9,2
2,2,2,2,1
1,2,2,3,2
1,2,2,3,2
1,3,3,3,1
2,2,2,2,1
1,2,2,3,1
2,2,2,9,2
1,9,9,9,2
9,2,2,3,2
2,2,2,2,1
1,2,2,2,2
1,2,2,2,1
9,9,8,3,1
9,9,9,9,1
2,2,2,3,1
1,2,9,9,1
1,3,3,3,1
2,2,2,3,1
9,2,9,9,2
1,2,2,3,2
1,2,2,3,1
1,2,2,3,1
1,2,2,3,1
1,3,2,3,2
2,2,2,2,2
9,9,8,9,1
1,2,2,9,1
1,2,2,3,1
1,2,2,3,1
1,2,2,2,2
1,2,2,2,2
1,2,2,3,2
1,2,2,2,2
2,2,2,2,1
1,2,2,2,1
1,2,1,3,2
2,2,2,3,1
1,2,2,2,2
9,8,8,9,2
9,2,3,9,2
1,2,2,2,2
1,2,2,3,1
1,2,2,3,2
1,3,9,3,2
1,2,2,9,2
1,2,2,2,2
1,3,3,3,2
1,2,2,9,1
1,2,2,3,1
1,1,2,3,2
9,2,2,9,2
1,2,2,3,1
1,2,2,3,2
1,9,9,3,2
1,2,3,3,2
1,9,9,3,2
2,2,2,3,1
1,2,2,3,1
1,2,1,3,2
1,2,2,3,1
2,2,2,2,1
1,2,2,3,2
1,9,9,3,2
9,9,9,9,1
1,2,2,9,2
1,2,2,3,2
1,2,2,2,2
2,2,2,3,1
9,9,9,9,1
1,2,2,3,1
2,2,2,2,1
2,2,2,2,1
9,8,8,2,2
2,2,2,2,2
1,3,3,3,1
2,2,2,2,2
9,9,9,9,2
9,2,3,3,1
9,9,9,9,2
9,2,2,3,1
1,9,9,9,2
2,2,2,2,2
9,9,9,3,2
1,8,8,9,1
9,8,8,9,2
1,2,2,2,1
1,2,1,3,1
1,2,3,3,1
1,2,2,3,1
2,3,3,3,1
9,9,9,9,2
1,2,2,3,1
1,1,1,3,1
1,1,1,1,1
1,2,1,3,1
1,9,9,3,2
1,2,2,3,1
1,2,2,3,1
1,2,2,3,1
1,2,2,3,1
9,9,9,3,1
2,9,9,3,2
1,9,9,3,1
9,9,9,9,1
2,3,3,3,1
1,1,1,3,2
1,2,2,3,2
9,3,1,3,1
9,9,9,9,2
1,2,2,3,1
1,9,9,3,1
9,9,9,2,1
1,2,2,2,2
9,9,9,9,2
1,2,2,3,1
1,2,1,3,2
1,9,9,3,1
9,9,8,9,1
1,1,1,3,1
1,2,2,2,1
1,3,9,2,2
1,2,2,3,2
1,3,1,3,2
1,2,1,3,1
1,1,1,3,1
1,2,2,3,2
1,2,2,3,2
1,2,1,3,2
1,1,1,3,2
1,2,2,3,1
1,2,1,3,2
1,1,1,3,1
1,1,1,3,1
1,2,1,3,1
2,1,3,3,1
1,1,2,3,2
1,2,1,3,1
1,2,2,2,1
1,2,1,3,1
1,2,1,3,2
1,2,2,3,1
1,2,2,3,1
1,2,2,2,1
1,3,3,2,2
1,2,2,2,1
1,2,1,3,1
1,2,2,3,1
1,2,3,3,1
1,2,2,3,2
1,2,1,3,1
1,2,1,3,1
1,2,2,3,1
2,1,8,3,1
1,2,1,3,1
1,1,2,3,2
1,1,1,3,1
1,2,3,3,2
1,2,2,3,1
1,2,2,3,2
1,8,8,3,2
9,9,9,9,2
9,9,9,3,1
1,9,9,3,1
1,2,2,3,1
1,2,1,3,1
1,2,1,3,1
1,2,2,3,1
1,2,1,3,2
1,1,2,3,1
1,2,1,3,1
1,2,1,3,1
1,1,1,3,1
1,3,1,3,1
1,2,2,3,1
1,1,2,3,1
1,2,1,3,1
9,9,9,3,1
1,2,2,3,2
1,2,2,3,2
1,2,2,3,2
1,2,1,3,1
1,2,2,3,2
1,2,1,2,1
1,2,2,3,1
1,2,2,3,1
2,2,2,3,1
1,2,2,3,2
1,3,2,3,1
1,9,9,3,1
1,3,3,3,2
1,1,1,3,1
1,3,2,3,2
1,2,2,3,1
1,9,9,3,1
1,2,2,3,1
1,3,1,3,1
1,1,1,2,1
1,2,1,3,1
1,2,2,3,2
1,2,1,3,1
1,2,2,3,2
1,2,2,3,1
9,9,9,3,2
1,2,1,3,1
1,2,1,3,1
1,9,9,3,2
1,2,1,3,2
1,9,9,3,2
1,2,2,3,2
1,2,9,3,1
1,2,2,3,1
1,2,1,3,1
1,3,1,3,1
1,1,1,3,1
1,2,2,3,1
1,1,1,3,1
1,2,3,3,2
1,1,1,3,1
1,2,1,3,1
1,2,1,3,2
1,2,2,3,1
1,2,1,3,1
1,2,3,3,2
1,2,2,3,1
1,1,1,2,1
2,2,2,3,2
1,1,2,1,1
1,2,2,3,1
1,8,8,3,2
1,1,1,3,2
1,2,1,3,1
1,1,2,3,1
1,2,1,3,1
1,1,1,3,1
1,2,2,3,2
1,9,9,9,2
1,2,2,3,1
1,2,1,3,2
1,1,2,3,2
1,2,2,3,1
1,2,2,3,1
1,2,3,3,2
1,8,9,3,1
1,2,2,3,2
1,2,2,3,2
1,2,2,3,1
1,2,2,3,1
1,1,3,3,1
1,3,3,3,2
1,2,1,3,1
1,1,1,3,1
1,2,3,3,1
1,2,1,2,1
1,3,3,2,1
1,1,2,3,1
1,2,2,3,1
1,2,2,3,2
1,2,2,3,1
1,2,2,3,2
1,1,1,1,1
1,1,1,3,1
1,3,3,3,1
1,2,2,3,2
1,2,2,3,1
1,3,3,3,1
1,2,2,3,1
1,2,2,3,1
1,2,2,2,2
1,2,2,3,2
1,2,2,3,2
1,1,1,3,1
1,1,1,3,2
1,1,1,3,1
1,1,1,3,1
1,1,1,3,2
1,2,1,3,1
1,2,2,3,1
1,3,1,3,1
9,9,9,9,2
1,2,3,3,2
1,2,1,3,2
1,2,2,3,1
1,1,1,1,1
1,1,1,3,1
1,9,9,2,2
1,1,1,3,2
1,9,9,3,2
1,2,1,2,1
1,1,1,3,1
1,2,2,3,2
1,1,1,3,2
1,9,9,3,2
1,1,1,3,1
1,1,1,3,1
1,2,2,3,1
1,9,9,3,2
1,3,3,3,1
1,3,3,3,1
1,2,2,3,1
1,1,2,3,1
1,2,2,3,2
1,2,3,3,1
1,1,1,3,1
1,1,1,2,1
1,2,2,3,2
1,1,1,3,1
1,2,2,1,2
1,2,2,2,2
1,3,3,3,1
1,2,2,3,1
1,1,1,1,1
1,2,2,3,1
1,2,2,3,2
1,1,3,3,1
1,9,9,3,1
1,2,2,3,1
1,2,2,3,2
1,3,3,3,1
1,2,2,3,2
1,9,9,2,1
1,9,9,3,2
1,2,2,3,1
1,2,2,3,1
1,9,9,3,1
1,2,2,2,2
1,2,2,3,2
1,2,2,1,1
1,2,2,3,1
1,2,2,2,1
1,3,3,3,2
1,2,2,3,1
1,2,1,3,2
1,2,2,3,1
1,2,2,3,1
1,2,2,3,1
1,9,9,9,1
1,2,2,3,2
1,2,2,3,1
1,2,2,3,1
9,9,9,1,1
1,2,2,3,1
1,2,2,3,1
1,2,2,3,1
1,3,3,3,2
1,3,3,3,1
1,1,2,3,2
1,1,1,3,2
1,3,3,2,1
1,2,2,2,1
1,1,1,3,1
1,2,2,2,1
9,9,9,1,1
1,2,1,3,1
1,2,2,2,1
9,9,9,9,2
1,2,3,3,2
1,2,2,3,2
1,2,2,3,2
1,2,1,3,2
1,2,2,3,2
1,9,9,3,1
1,2,2,3,1
1,9,9,3,1
1,2,2,3,2
1,2,2,3,1
1,9,9,2,1
1,1,1,2,1
1,9,9,9,1
1,3,3,3,1
1,2,2,3,2
1,9,9,3,1
1,8,8,3,1
9,9,9,9,1
1,9,9,3,1
1,2,2,3,2
1,2,2,3,1
1,2,9,3,1
1,2,2,3,1
9,9,9,9,2
1,2,2,3,1
1,2,2,3,1
1,2,2,3,1
1,2,2,3,1
1,2,2,3,1
1,2,1,3,2
1,2,1,2,1
9,9,9,9,2
1,1,1,1,1
1,2,9,3,1
1,9,9,3,2
9,9,9,3,2
1,2,2,3,2
1,2,2,3,1
1,2,2,3,1
1,2,1,3,2
1,9,9,3,2
1,2,1,3,1
1,2,8,3,1
9,9,9,9,1
1,9,9,3,2
1,9,8,2,1
1,2,2,3,2
9,9,9,9,2
1,2,1,3,1
1,2,2,3,1
1,1,1,3,2
1,1,1,3,2
1,2,1,3,1
1,2,2,3,2
9,9,9,9,1
1,2,2,3,2
1,2,2,3,2
9,9,9,9,1
1,2,2,3,1
1,1,1,3,2
1,1,1,3,1
1,1,1,3,2
1,9,9,3,1
1,1,1,3,1
1,1,1,3,1
1,1,1,3,1
1,9,9,3,2
1,1,1,3,2
1,2,2,3,2
1,9,9,2,2
1,1,1,1,2
1,1,1,3,1
1,1,9,3,1
1,2,1,3,1
1,1,1,3,1
1,9,9,3,2
1,1,1,3,2
1,1,1,3,2
1,1,1,3,1
1,2,2,3,1
1,1,2,3,1
1,1,1,3,2
1,2,2,3,1
1,9,9,2,1
1,2,2,3,1
1,2,2,3,2
1,3,1,3,1
1,2,3,3,1
1,2,1,3,1
1,9,9,9,2
1,2,1,3,2
1,1,1,3,1
1,9,9,2,2
1,3,3,3,2
1,1,9,2,1
9,9,9,9,1
1,3,8,3,1
1,9,9,9,1
1,2,3,3,2
2,9,9,9,1
1,9,9,9,1
1,2,2,3,1
1,2,1,3,1
1,1,1,1,1
1,1,1,1,2
1,2,1,3,1
1,2,2,3,1
1,9,9,3,2
1,3,3,3,1
1,8,9,3,1
1,1,1,3,1
1,9,9,3,1
1,2,2,3,1
1,2,2,3,2
1,9,9,3,1
1,2,2,3,1
1,9,9,2,2
1,9,9,9,1
1,2,8,2,1
9,1,1,2,1
1,1,1,1,1
1,2,1,3,2
1,2,2,3,2
1,9,9,3,2
1,2,1,3,1
1,9,9,3,2
1,9,9,3,1
1,2,1,3,1
1,2,2,3,2
1,9,3,2,2
1,2,3,3,1
1,2,2,3,1
1,2,1,3,1
1,2,1,3,1
1,2,1,3,2
1,2,2,3,2
1,2,1,3,2
1,2,3,3,1
1,2,2,3,2
1,2,1,3,2
1,2,1,3,2
1,2,1,3,2
1,2,2,3,1
1,2,2,3,1
1,2,1,3,2
1,2,2,3,2
1,2,1,3,1
1,2,1,3,1
1,1,1,3,2
1,2,2,3,2
1,2,2,3,1
1,2,1,3,1
1,2,1,3,2
1,2,1,3,2
1,2,1,3,1
1,2,1,3,2
1,2,1,3,1
1,2,1,3,2
1,3,3,3,1
1,2,1,3,2
1,2,1,3,2
1,2,1,3,1
1,2,1,3,2
1,2,1,3,2
1,2,1,3,1
1,2,1,3,1
1,2,1,3,2
1,2,1,3,2
1,2,8,3,1
1,2,1,3,2
1,2,1,3,2
1,2,1,3,1
1,2,1,3,1
1,2,1,3,1
1,1,1,3,1
1,2,1,3,2
1,2,1,3,2
1,2,1,1,2
1,2,1,3,2
