P11_1_1,P11_1_2,P11_1_3,P11_1_4,P11_1_5,P11_2_1,P11_2_2,P11_2_3,P11_2_4,P11_3_1,P11_3_2,P11_3_3,P11_3_4,P11_3_9,P11_4,P12_1
1,1,1,2,2,2,2,2,2,2,1,2,1,2,2.0,2
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,2,1,2,2,2,2.0,2
1,2,1,1,1,2,2,2,2,2,2,2,2,1,,2
9,2,2,2,9,2,2,2,2,1,2,2,2,2,2.0,1
1,1,1,1,1,2,2,2,2,2,2,2,2,1,,2
2,1,2,2,2,2,2,2,2,2,1,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,1,1,2,2,2,2.0,2
1,1,1,1,2,2,2,2,1,2,1,2,2,2,1.0,2
1,2,1,2,1,2,2,2,2,2,1,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,2,2,2,2,1,,2
2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1
1,2,1,1,1,2,2,2,2,2,2,2,2,1,,1
1,1,9,1,1,2,2,2,2,2,2,2,2,1,,1
1,2,1,1,2,2,2,2,2,1,2,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,2,1,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,2,1,2,1,2,2.0,1
1,1,1,1,2,2,2,2,2,2,1,2,2,2,2.0,2
2,2,1,2,2,2,2,2,1,2,2,2,2,1,,1
1,1,1,1,1,2,2,2,2,2,2,2,2,1,,2
2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2
1,2,2,2,2,2,2,2,2,2,2,2,2,1,,2
1,1,1,2,1,2,2,2,2,2,2,2,2,1,,1
2,2,1,2,2,2,2,2,2,2,2,1,2,2,2.0,2
1,2,2,2,2,2,2,2,2,2,2,2,2,1,,1
1,1,1,1,1,2,2,2,2,2,1,2,2,2,1.0,1
9,9,9,9,9,2,2,2,2,2,2,2,2,1,,1
1,1,1,1,1,2,2,2,2,2,1,2,2,2,2.0,2
1,2,1,9,1,2,9,9,1,2,1,2,2,2,1.0,1
2,2,1,1,1,2,2,2,2,2,2,2,2,1,,2
9,2,9,9,9,2,2,2,2,2,2,2,2,1,,1
1,1,1,9,1,2,2,2,2,2,2,1,2,2,2.0,1
1,2,1,1,1,2,2,2,2,2,2,2,2,1,,1
1,1,1,1,1,2,2,2,2,2,1,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,2,2,2,2,1,,1
2,2,2,2,2,2,2,2,1,2,1,2,2,2,2.0,1
1,1,1,1,1,2,2,2,2,2,2,2,2,1,,1
1,1,1,9,2,2,2,2,2,2,1,2,2,2,2.0,2
2,2,2,2,2,2,2,2,2,2,1,2,2,2,2.0,2
1,1,1,9,1,1,1,2,2,2,1,2,2,2,2.0,1
9,2,9,2,9,2,2,9,9,2,2,2,2,1,,1
2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2
1,1,1,2,2,2,2,2,2,1,2,2,2,2,2.0,1
1,2,2,2,2,2,2,2,2,2,2,2,2,1,,2
2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1
1,1,1,1,2,2,1,2,1,2,1,2,2,2,2.0,1
1,1,1,1,1,2,2,2,2,2,2,2,2,1,,2
1,1,1,2,2,2,1,2,2,2,1,2,2,2,1.0,1
1,1,1,1,1,2,2,2,2,2,1,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,2,2,2,2,1,,2
1,1,1,1,1,2,2,2,2,2,2,1,2,2,2.0,1
1,2,2,1,9,2,2,2,2,2,2,2,2,1,,2
1,1,1,1,1,2,2,2,2,2,1,2,2,2,2.0,2
1,2,2,1,2,2,2,2,2,2,2,2,2,1,,1
2,9,1,1,1,2,2,2,2,2,2,2,2,1,,2
1,1,1,1,1,1,2,2,2,2,1,2,2,2,2.0,1
1,2,9,1,1,2,2,2,2,2,1,2,2,2,2.0,1
2,1,2,2,2,2,1,2,2,1,2,2,2,2,2.0,1
1,1,1,1,2,2,2,2,2,2,2,2,2,1,,2
1,1,1,1,1,2,2,2,2,2,2,2,2,1,,2
1,1,1,1,1,2,2,2,2,2,1,2,2,2,2.0,1
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2.0,1
1,1,1,1,1,2,2,2,2,2,1,2,2,2,2.0,2
1,1,2,2,2,2,2,2,2,2,2,2,1,2,2.0,1
1,1,1,1,1,2,2,2,2,2,1,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,2,1,2,2,2,2.0,1
1,9,1,2,2,2,2,2,1,2,1,2,2,2,1.0,2
1,1,1,2,1,2,2,2,2,2,2,2,2,1,,2
1,1,1,1,1,9,2,2,1,2,2,2,2,1,,1
1,1,1,1,2,1,2,2,2,2,1,2,2,2,1.0,1
1,2,2,2,2,2,2,2,2,2,1,2,2,2,2.0,2
2,2,1,9,2,2,2,2,2,1,2,2,2,2,2.0,2
1,1,1,2,1,2,2,2,2,2,1,2,2,2,1.0,1
2,2,2,2,2,2,2,2,2,1,2,2,2,2,2.0,1
9,9,9,9,9,2,2,2,2,2,2,2,2,1,,1
1,2,1,1,1,1,2,2,2,2,1,2,2,2,2.0,2
1,2,1,2,2,2,2,2,2,2,2,2,2,1,,1
1,1,1,2,1,2,2,2,2,1,2,2,2,2,2.0,1
2,2,1,2,2,2,2,2,2,2,1,2,2,2,1.0,1
1,1,1,9,1,2,2,2,2,1,2,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2.0,1
1,2,2,1,1,2,2,2,2,2,2,2,1,2,2.0,2
1,2,2,2,2,2,2,2,2,2,2,2,2,1,,2
1,2,1,1,2,2,2,2,2,2,1,2,2,2,2.0,1
1,1,1,1,1,2,2,2,2,2,2,1,2,2,2.0,1
2,1,9,1,9,2,2,2,2,2,2,2,2,1,,1
1,1,2,1,2,2,2,2,2,2,2,2,2,1,,2
1,1,1,1,1,2,2,2,2,2,2,2,2,1,,1
2,2,2,2,1,2,2,2,2,2,2,2,2,1,,2
1,2,1,1,1,2,2,2,2,2,1,2,2,2,2.0,1
1,2,2,2,1,2,2,2,2,2,2,2,2,1,,1
2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1
9,9,9,9,9,9,9,9,9,2,2,2,2,1,,2
1,1,1,9,2,2,2,2,2,1,2,2,2,2,2.0,1
2,2,9,9,9,2,2,2,2,2,2,2,2,1,,2
1,2,1,1,1,2,2,2,2,1,2,2,2,2,1.0,1
1,1,1,1,1,2,2,1,1,1,2,2,2,2,2.0,1
2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2
1,1,1,1,1,2,2,2,2,2,2,2,2,1,,2
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2.0,1
2,2,2,1,2,2,2,2,2,2,2,2,2,1,,1
1,2,1,2,1,2,2,2,2,2,2,2,2,1,,1
2,2,1,2,1,2,2,2,2,1,2,2,2,2,2.0,1
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2.0,1
1,1,2,2,1,2,2,2,2,1,2,2,2,2,2.0,1
2,1,1,1,1,2,2,2,2,2,2,2,2,1,,1
2,1,1,2,2,2,2,2,2,1,2,2,2,2,2.0,1
1,2,1,1,1,2,2,2,2,1,2,2,2,2,2.0,1
1,2,1,1,1,2,2,2,2,2,2,2,2,1,,1
1,2,1,2,2,1,2,2,2,2,2,2,2,1,,1
2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1
1,2,1,1,1,2,2,2,2,2,2,1,2,2,2.0,1
2,2,2,2,2,2,2,2,2,2,2,1,2,2,2.0,2
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2.0,2
1,2,1,2,1,2,2,2,2,1,2,2,2,2,2.0,1
1,2,1,1,1,2,2,2,2,1,2,2,2,2,2.0,1
1,2,1,1,1,2,2,2,2,1,2,2,2,2,2.0,1
1,1,2,2,2,2,1,2,2,2,1,2,2,2,1.0,2
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2.0,2
2,2,2,2,2,2,2,2,2,1,2,2,2,2,2.0,2
1,1,1,1,1,2,2,1,1,2,2,2,2,1,,1
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,2,1,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,1,1,2,2,2,2.0,2
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2.0,2
1,2,2,2,1,2,2,2,2,2,2,2,2,1,,1
1,2,2,2,2,2,2,2,2,2,2,2,2,1,,1
1,2,1,2,1,2,2,2,2,2,1,2,2,2,2.0,2
1,1,2,1,1,2,2,2,2,2,2,2,2,1,,2
1,2,1,2,2,2,2,2,2,2,2,2,2,1,,1
1,1,1,1,1,2,2,2,2,2,2,2,2,1,,1
1,1,1,1,9,2,2,2,2,2,1,2,2,2,2.0,2
1,2,1,1,1,2,2,2,2,2,2,2,2,1,,2
1,1,1,1,1,2,2,2,2,2,2,2,2,1,,1
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2.0,2
1,9,1,1,9,2,2,2,2,1,2,2,2,2,2.0,1
1,2,9,9,2,2,2,2,2,1,2,2,2,2,2.0,1
1,1,2,1,1,2,2,2,2,2,1,2,2,2,2.0,1
2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1
1,2,2,1,2,2,2,2,2,2,2,2,2,1,,2
1,2,1,2,2,2,2,2,2,1,2,2,2,2,2.0,1
9,2,9,1,9,2,2,2,2,2,2,2,2,1,,1
9,2,2,9,2,2,2,2,2,2,2,2,2,1,,1
2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1
1,1,1,1,1,2,2,2,2,1,2,2,2,2,2.0,1
9,2,9,1,2,2,2,2,2,2,2,2,2,1,,1
