P14_1,P14_2_1,P14_3_1,P14_4_1,P14_2_2,P14_3_2,P14_4_2,P14_2_3,P14_3_3,P14_4_3,P14_2_4,P12_1
2,2,,,2,,,2,,,2,2
1,2,,,2,,,2,,,2,2
1,2,,,2,,,2,,,2,2
3,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,2
1,2,,,2,,,2,,,2,1
2,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,2
2,2,,,1,1.0,3.0,2,,,2,2
2,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,2
2,1,1.0,3.0,1,1.0,3.0,2,,,2,2
2,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,1
2,2,,,2,,,2,,,2,1
1,1,3.0,2.0,2,,,2,,,2,2
3,2,,,2,,,2,,,2,2
2,1,1.0,2.0,1,1.0,2.0,2,,,2,1
2,1,5.0,2.0,1,1.0,2.0,2,,,2,2
2,2,,,2,,,2,,,2,1
2,2,,,2,,,2,,,2,2
1,2,,,2,,,2,,,2,2
2,1,1.0,2.0,2,,,2,,,2,2
2,2,,,2,,,2,,,2,1
2,1,1.0,2.0,1,1.0,2.0,2,,,2,2
1,2,,,2,,,2,,,2,1
2,2,,,1,1.0,2.0,1,1.0,2.0,2,1
2,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,1
2,2,,,2,,,2,,,2,2
1,1,5.0,2.0,2,,,2,,,2,1
2,2,,,2,,,2,,,2,1
1,1,3.0,3.0,2,,,2,,,2,1
1,2,,,2,,,2,,,2,2
1,2,,,2,,,2,,,2,1
1,1,5.0,3.0,1,4.0,3.0,2,,,2,1
2,2,,,2,,,2,,,2,1
2,2,,,2,,,2,,,2,2
1,2,,,2,,,2,,,2,2
2,1,3.0,2.0,1,3.0,2.0,2,,,2,1
2,2,,,2,,,2,,,2,1
2,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,1
2,2,,,2,,,2,,,2,2
1,2,,,2,,,2,,,2,1
2,1,3.0,2.0,1,3.0,2.0,2,,,2,1
2,1,3.0,2.0,1,2.0,2.0,2,,,2,2
1,2,,,1,6.0,3.0,2,,,2,1
2,1,3.0,2.0,1,1.0,2.0,2,,,2,2
2,2,,,1,3.0,2.0,2,,,2,2
3,2,,,2,,,2,,,2,1
1,2,,,1,5.0,3.0,2,,,2,2
1,2,,,2,,,2,,,2,2
1,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,2
2,1,3.0,2.0,1,1.0,3.0,2,,,2,1
1,1,5.0,3.0,2,,,1,5.0,3.0,2,1
1,2,,,2,,,2,,,2,1
3,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,2
2,2,,,1,1.0,3.0,2,,,2,1
2,2,,,2,,,2,,,2,1
2,1,3.0,2.0,2,,,2,,,2,2
2,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,2
2,1,5.0,2.0,1,1.0,3.0,2,,,2,1
2,2,,,2,,,2,,,2,2
1,1,3.0,3.0,1,3.0,3.0,2,,,2,2
3,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,1
2,1,3.0,2.0,1,3.0,2.0,1,3.0,2.0,2,2
2,1,5.0,2.0,2,,,2,,,2,2
2,2,,,2,,,2,,,2,1
2,1,3.0,2.0,2,,,2,,,2,1
2,1,3.0,2.0,2,,,2,,,2,1
2,1,5.0,2.0,2,,,2,,,2,2
1,1,5.0,2.0,2,,,2,,,2,1
1,1,3.0,3.0,2,,,2,,,2,1
2,1,5.0,2.0,1,3.0,2.0,2,,,2,1
3,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,1
2,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,1
3,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,1
2,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,2
1,1,5.0,3.0,1,5.0,3.0,2,,,2,1
1,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,1
2,2,,,2,,,2,,,2,1
2,2,,,2,,,2,,,2,2
3,2,,,2,,,2,,,2,2
3,2,,,2,,,2,,,2,1
2,2,,,1,1.0,2.0,2,,,2,1
2,2,,,2,,,2,,,2,1
2,2,,,2,,,2,,,2,1
2,1,5.0,2.0,2,,,2,,,2,1
2,2,,,2,,,2,,,2,1
2,1,5.0,2.0,2,,,2,,,2,1
1,2,,,2,,,2,,,2,1
1,1,5.0,3.0,2,,,2,,,2,1
2,2,,,2,,,2,,,2,1
2,1,5.0,3.0,2,,,2,,,2,1
1,2,,,2,,,2,,,2,1
2,2,,,1,1.0,2.0,2,,,2,1
1,1,5.0,3.0,2,,,2,,,2,2
1,2,,,1,3.0,3.0,2,,,2,2
2,2,,,2,,,2,,,2,1
2,1,1.0,2.0,1,3.0,2.0,2,,,2,1
2,1,5.0,2.0,2,,,2,,,2,1
2,1,5.0,2.0,1,1.0,2.0,2,,,2,2
2,2,,,2,,,2,,,2,2
1,1,5.0,3.0,2,,,2,,,2,2
2,2,,,2,,,2,,,2,1
2,1,5.0,2.0,1,1.0,2.0,2,,,2,2
1,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,2
3,2,,,2,,,2,,,2,2
2,2,,,1,1.0,2.0,2,,,2,1
2,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,2
2,2,,,2,,,2,,,2,2
2,1,5.0,2.0,2,,,2,,,2,1
2,1,1.0,2.0,1,1.0,2.0,2,,,2,1
2,2,,,1,3.0,2.0,2,,,2,2
1,1,5.0,2.0,1,5.0,2.0,2,,,2,2
3,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,2
1,1,5.0,1.0,2,,,2,,,2,1
1,1,5.0,2.0,2,,,2,,,2,1
2,2,,,2,,,2,,,2,1
1,2,,,2,,,2,,,2,1
